team,year,player_name,club,age
Spain,2010,Iker Casillas,Real Madrid,29
Spain,2010,Víctor Valdés,Barcelona,28
Spain,2010,Pepe Reina,Liverpool,27
Spain,2010,Gerard Piqué,Barcelona,23
Spain,2010,Carles Puyol,Barcelona,32
Spain,2010,Carlos Marchena,Villarreal,30
Spain,2010,Joan Capdevila,Villarreal,32
Spain,2010,Sergio Ramos,Real Madrid,24
Spain,2010,Álvaro Arbeloa,Real Madrid,27
Spain,2010,Raúl Albiol,Real Madrid,24
Spain,2010,Andrés Iniesta,Barcelona,26
Spain,2010,Xavi Hernández,Barcelona,30
Spain,2010,Cesc Fàbregas,Arsenal,23
Spain,2010,Xabi Alonso,Real Madrid,28
Spain,2010,Sergio Busquets,Barcelona,21
Spain,2010,Javi Martínez,Athletic Bilbao,21
Spain,2010,David Silva,Valencia,24
Spain,2010,Juan Mata,Valencia,22
Spain,2010,David Villa,Barcelona,28
Spain,2010,Fernando Torres,Liverpool,26
Spain,2010,Pedro Rodríguez,Barcelona,22
Spain,2010,Fernando Llorente,Athletic Bilbao,25
Spain,2010,Jesús Navas,Sevilla,24
Germany,2014,Manuel Neuer,Bayern Munich,28
Germany,2014,Roman Weidenfeller,Borussia Dortmund,33
Germany,2014,Ron-Robert Zieler,Hannover 96,25
Germany,2014,Kevin Großkreutz,Borussia Dortmund,25
Germany,2014,Matthias Ginter,Freiburg,20
Germany,2014,Benedikt Höwedes,Schalke 04,26
Germany,2014,Mats Hummels,Borussia Dortmund,25
Germany,2014,Erik Durm,Borussia Dortmund,22
Germany,2014,Philipp Lahm,Bayern Munich,30
Germany,2014,Per Mertesacker,Arsenal,29
Germany,2014,Jérôme Boateng,Bayern Munich,25
Germany,2014,Shkodran Mustafi,Sampdoria,22
Germany,2014,Sami Khedira,Real Madrid,27
Germany,2014,Bastian Schweinsteiger,Bayern Munich,29
Germany,2014,Mesut Özil,Arsenal,25
Germany,2014,Julian Draxler,Schalke 04,20
Germany,2014,Toni Kroos,Bayern Munich,24
Germany,2014,Mario Götze,Bayern Munich,22
Germany,2014,Christoph Kramer,Borussia Mönchengladbach,23
Germany,2014,Thomas Müller,Bayern Munich,24
Germany,2014,Miroslav Klose,Lazio,36
Germany,2014,Lukas Podolski,Arsenal,29
Germany,2014,André Schürrle,Chelsea,23
France,2018,Hugo Lloris,Tottenham,31
France,2018,Steve Mandanda,Marseille,33
France,2018,Alphonse Areola,PSG,25
France,2018,Benjamin Pavard,Stuttgart,22
France,2018,Presnel Kimpembe,PSG,22
France,2018,Raphaël Varane,Real Madrid,25
France,2018,Samuel Umtiti,Barcelona,24
France,2018,Adil Rami,Marseille,32
France,2018,Djibril Sidibé,Monaco,25
France,2018,Benjamin Mendy,Manchester City,23
France,2018,Lucas Hernandez,Atletico Madrid,22
France,2018,Paul Pogba,Manchester United,25
France,2018,Thomas Lemar,Monaco,22
France,2018,Corentin Tolisso,Bayern Munich,23
France,2018,N'Golo Kanté,Chelsea,27
France,2018,Blaise Matuidi,Juventus,31
France,2018,Steven Nzonzi,Sevilla,29
France,2018,Antoine Griezmann,Atletico Madrid,27
France,2018,Olivier Giroud,Chelsea,31
France,2018,Kylian Mbappé,PSG,19
France,2018,Ousmane Dembélé,Barcelona,21
France,2018,Nabil Fekir,Lyon,24
France,2018,Florian Thauvin,Marseille,25
Argentina,2022,Franco Armani,River Plate,36
Argentina,2022,Gerónimo Rulli,Villarreal,30
Argentina,2022,Emiliano Martínez,Aston Villa,30
Argentina,2022,Juan Foyth,Villarreal,24
Argentina,2022,Nicolas Tagliafico,Lyon,30
Argentina,2022,Gonzalo Montiel,Sevilla,25
Argentina,2022,Germán Pezzella,Real Betis,31
Argentina,2022,Marcos Acuña,Sevilla,31
Argentina,2022,Cristian Romero,Tottenham,24
Argentina,2022,Nicolás Otamendi,Benfica,34
Argentina,2022,Lisandro Martínez,Manchester United,24
Argentina,2022,Nahuel Molina,Atletico Madrid,24
Argentina,2022,Leandro Paredes,Juventus,28
Argentina,2022,Rodrigo De Paul,Atletico Madrid,28
Argentina,2022,Marcos Acuña,Sevilla,31
Argentina,2022,Alexis Mac Allister,Brighton,23
Argentina,2022,Ángel Di María,Juventus,34
Argentina,2022,Guido Rodríguez,Real Betis,28
Argentina,2022,Alejandro Gómez,Sevilla,34
Argentina,2022,Enzo Fernández,Benfica,21
Argentina,2022,Exequiel Palacios,Leverkusen,24
Argentina,2022,Julian Álvarez,Manchester City,22
Argentina,2022,Lionel Messi,PSG,35
Argentina,2022,Thiago Almada,Atlanta United,21
Argentina,2022,Ángel Correa,Atletico Madrid,27
Argentina,2022,Paulo Dybala,Roma,29
Argentina,2022,Lautaro Martínez,Inter Milan,25
France,2026,Mike Maignan,AC Milan,30
France,2026,Brice Samba,Lens,32
France,2026,Alphonse Areola,West Ham,33
France,2026,William Saliba,Arsenal,25
France,2026,Ibrahima Konaté,Liverpool,27
France,2026,Dayot Upamecano,Bayern Munich,27
France,2026,Jules Koundé,Barcelona,27
France,2026,Benjamin Pavard,Inter Milan,30
France,2026,Theo Hernandez,AC Milan,28
France,2026,Ferland Mendy,Real Madrid,31
France,2026,Jonathan Clauss,Marseille,33
France,2026,Aurélien Tchouaméni,Real Madrid,26
France,2026,Eduardo Camavinga,Real Madrid,23
France,2026,Adrien Rabiot,Juventus,31
France,2026,Youssouf Fofana,Monaco,27
France,2026,Warren Zaïre-Emery,PSG,20
France,2026,Antoine Griezmann,Atletico Madrid,35
France,2026,Kylian Mbappé,Real Madrid,27
France,2026,Ousmane Dembélé,PSG,29
France,2026,Marcus Thuram,Inter Milan,28
France,2026,Olivier Giroud,LAFC,39
France,2026,Randal Kolo Muani,PSG,27
France,2026,Kingsley Coman,Bayern Munich,30
France,2026,Bradley Barcola,PSG,23
Spain,2026,Unai Simón,Athletic Bilbao,28
Spain,2026,David Raya,Arsenal,30
Spain,2026,Alex Remiro,Real Sociedad,31
Spain,2026,Robin Le Normand,Atletico Madrid,29
Spain,2026,Aymeric Laporte,Al-Nassr,32
Spain,2026,Daniel Carvajal,Real Madrid,34
Spain,2026,Jesús Navas,Sevilla,40
Spain,2026,Alejandro Grimaldo,Leverkusen,30
Spain,2026,Marc Cucurella,Chelsea,27
Spain,2026,Dani Vivian,Athletic Bilbao,26
Spain,2026,Rodri Hernández,Manchester City,29
Spain,2026,Martín Zubimendi,Real Sociedad,27
Spain,2026,Mikel Merino,Arsenal,29
Spain,2026,Pedri González,Barcelona,23
Spain,2026,Fermín López,Barcelona,23
Spain,2026,Alex Baena,Villarreal,24
Spain,2026,Dani Olmo,Barcelona,28
Spain,2026,Lamine Yamal,Barcelona,18
Spain,2026,Nico Williams,Athletic Bilbao,23
Spain,2026,Álvaro Morata,AC Milan,33
Spain,2026,Joselu Mato,Al-Gharafa,36
Spain,2026,Ferran Torres,Barcelona,26
Spain,2026,Mikel Oyarzabal,Real Sociedad,29
Spain,2026,Ayoze Pérez,Villarreal,32
Argentina,2026,Emiliano Martínez,Aston Villa,33
Argentina,2026,Gerónimo Rulli,Marseille,34
